Reference,Title,Country
US5861341,Plated nickel-gold/dielectric interface for passivated MMICs,US
US5861588,Plane mechanical keyboard,US
US5861616,METHOD AND DEVICE FOR RECOGNIZING A WAVEFORM OF AN ANALOG SIGNAL,US
US5861622,HANDY SCANNER HAVING SCANNING PATH STRAIGHTNESS-MAINTAINING MECHANISM,US
US5861626,Mercury cadmium telluride infrared filters and detectors and methods of fabrication,US
US5861767,"Digital step generators and circuits, systems and methods using the same",US
US5862037,PC CARD FOR COOLING A PORTABLE COMPUTER,US
US5862197,Charge Coupled Device Having CCIR/EIA Mode Coversion Function,US
US5862202,Fax routing system and method using standard fax machine and personal computer,US
US5862224,Cryptographic process for protection against fraud,US
US5862346,Distributed group activity data network system and corresponding method,US
US5862397,ARRAY SYSTEM ARCHITECTURE OF MULTIPLE PARALLEL STRUCTURE PROCESSORS,US
US5862398,Compiler generating swizzled instructions usable in a simplified cache layout,US
US5864390,OPTICAL SYSTEM FOR USE IN A PHOTOGRAPHIC IMAGE,US
US5864418,MULTI-BEAM SCANNER WITH MECHANICALLY MOVING ELEMENT FOR SCANNING IMAGING SURFACES,US
US5864506,MEMORY HAVING SELECTABLE OUTPUT STRENGTH,US
US5864529,DISK LOADING DEVICE FOR AN OPTICAL DISK DRIVER,US
US5864555,METHOD AND APPARATUS FOR GENERATING A PROXY CONNECTION ENDPOINT FOR OPERATION ADMINISTRATION AND MANAGEMENT (OAM) ASYNCHRONOUS TRANSFER MODE (ATM) CELLS ,US
US5864676,URL LOGIN,US
US5864823,Integrated virtual telecommunication system for E-comm,US
US5864836,OPTICALLY PROGRAMMABLE OPTOELECTRONIC CELLULAR NEURAL NETWORK,US
US5865630,Connection pin,US
US5867013,Startup circuit for band-gap reference circuit,US
US5867122,APPLICATION OF GPS TO A RAILROAD NAVIGATION SYSTEM USING TWO SATELLITES AND A STORED DATABASE,US
US5867141,Driving method for liquid crystal display of gate storage structure,US
US5867233,Active matrix liquid crystal display substrate with island structure covering break in signal bus line and method of producing same,US
US5867282,Method of combining two digitally generated images wherein one is customized in view of the other,US
US5867411,"KALMAN FILTER IONOSPHERIC DELAY ESTIMATOR 
",US
US5867479,Digital multi-channel demultiplexer/multiplex (MCD/M architecture),US
US5867771,Circuit arrangement comprising a tuner and a splitter-modulator,US
US5867802,BIOMETRICALLY SECURED CONTROL SYSTEM FOR PREVENTING THE UNAUTHORIZED USE OF A VEHICLE,US
US5867886,Method of making a thick film pressure sensor,US
US5869353,Modular panel stacking process,US
US5869381,RF power transistor having improved stability and gain,US
US5869853,Linear Charge-Coupled Device Having Improved Charge Transferring Characteristics,US
US5869855,Charge-Coupled Device With Photo Chromic Layer,US
US5869875,Lateral diffused MOS transistor with trench source contact,US
US5870329,ENHANCED ASIC PROCESS CELL,US
US5870425,DIFFERENTIAL RECEIVER OF DIRECT SEQUENCE SPREAD SPECTRUM SIGNALS,US
US5870452,System And Method For Controlling Message Looping Between Network Elements,US
US5870505,METHOD AND APPARATUS FOR PIXEL LEVEL LUMINANCE ADJUSTMENT,US
US5870731,ADAPTIVE PROBLEM SOLVING METHOD AND SYSTEM,US
US5872036,Method of manufacturing a split-gate flash memory cell,US
US5872464,Input buffer with stabilized trip points,US
US5872468,"LEVEL DETECTOR CIRCUIT, INTERFACE AND METHOD FOR INTERPRETING AND PROCESSING MULTI-LEVEL SIGNALS",US
US5872478,SCR FIRING CIRCUIT FOR HIGH VOLTAGE CONTROL APPLICATIONS,US
US5872533,Circuit and architecture for providing an interface between components,US
US5872565,Real-time video processing system,US
US5872764,LIGHT EMITTER-RECEIVER DEVICE AND OPTICAL READING SYSTEM,US
US5872793,FAST BIST ARCHITECTURE WITH FLEXIBLE STANDARD INTERFACE,US
US5872834,TELEPHONE WITH BIOMETRIC SENSING DEVICE,US
US5872848,METHOD AND APPARATUS FOR WITNESSED AUTHENTICATION OF ELECTRONIC DOCUMENTS,US
US5872921,SYSTEM AND METHOD FOR A REAL TIME DATA STREAM ANALYZER AND ALERT SYSTEM,US
US5872926,INTEGRATED MESSAGE SYSTEM ,US
US5873430,Control element arrangement for controlling the steering angle of a motor vehicle,US
US5874046,Biological warfare agent sensor system employing ruthenium-terminated oligonucleotides complementary to target live agent DNA sequences,US
US5874838,High voltage-tolerant low voltage input/output cell,US
US5874934,Sample hold circuit for LCD driver,US
US5875009,Sequential staggered type thin film transistor,US
US5875096,APPARATUS FOR HEATING AND COOLING AN ELECTRONIC DEVICE,US
US5875242,Telecommunications installation and management system and method,US
US5875436,VIRTUAL TRANSCRIPTION SYSTEM,US
US5875448,DATA STREAM EDITING SYSTEM INCLUDING A HAND-HELD VOICE-EDITING APPARATUS HAVING A POSITION-FINDING ENUCIATOR,US
US5875879,COIN OPERATED MACHINE HAVING AN ELECTRONICALLY IDENTIFIED COIN COLLECTION BOX,US
US5876796,"PROCESS FOR SELECTIVELY DEPOSITING A REFRACTORY METAL SILICIDE ON SILICON, AND SILICON WAFER METALIZED USING THIS PROCESS",US
US5877492,Contact type image sensor comprising a plurality of microlenses,US
US5877494,BEAM ERROR CORRECTION USING MOVABLE CORRECTION ELEMENT,US
US5877615,Dynamic input reference voltage adjuster,US
US5877717,D/A Converter With A Gamma Correction Circuit,US
US5877744,SINGLE BUTTON CONTROL FOR INFORMATION DISPLAY,US
US5877780,"SEMICONDUCTOR CHIP HAVING MULTIPLE INDEPENDENT MEMORY SECTIONS, AT LEAST ONE OF WHICH INCLUDES SIMULTANEOUSLY ACCESSIBLE ARRAYS",US
US5877809,METHOD OF AUTOMATIC OBJECT DETECTION IN IMAGE,US
US5877890,OPTICAL-FIBER AMPLIFIER HAVING HIGH-SATURATION OUTPUT,US
US5877933,ELECTROSTATUS DISCHARGER PROTECTION DEVICE FOR MAGNETORESISTIVE HEAD,US
US5878181,Optical non-linear branching element,US
US5878224,System for preventing server overload by adaptively modifying gap interval that is used by source to limit number of transactions transmitted by source to server,US
US5878395,Code reading terminal with integrated vehicular head-up display capability,US
US5879450,Method of heteroepitaxial growth of beta silicon carbide on silicon,US
US5880483,Semiconductor devices,US
US5880696,RETRACTABLE ANTENNA FOR A RADIO TRANSMITTING AND RECEIVING DEVICE,US
US5880740,SYSTEM FOR MANIPULATING GRAPHICAL COMPOSITE IMAGE COMPOSED OF ELEMENTS SELECTED BY USER FROM SEQUENTIALLY DISPLAYED MEMBERS OF STORED IMAGE SETS,US
US5880803,Liquid crystal display element with a portion of an alignment layer covers spacer is directly bonded to the alignment layer on the other substrate,US
US5880858,METHOD OF AUTO-CROPPING IMAGES FOR SCANNERS,US
US5881182,ADAPTIVE PROCESS FOR REMOVING STREAKS IN DIGITAL IMAGES,US
US5881226,Computer security system,US
US5883549,BIPOLAR JUNCTION TRANSISTOR (BJT) - RESONANT TUNNELING DIODE (RTD) OSCILLATOR CIRCUIT AND METHOD,US
US5883565,Frequency dependent resistive element,US
US5883606,Flat virtual displays for virtual reality,US
US5883822,DEVICE FOR PROGRAMMABLE DELAY OF AN ANALOG SIGNAL AND CORRESPONDING PROGRAMMABLE ACOUSTIC ANTENNA,US
US5883908,Device For Detecting Error From Digital Data,US
US5883941,HDSL AND POTS CARRIER SYSTEM,US
US5883981,LATTICE VECTOR TRANSFORM CODING METHOD FOR IMAGE AND VIDEO COMPRESSION,US
US5883998,BACKPLANE CONNECTORS WITH SEPARABLE ELECTRICAL AND OPTICAL CONNECTORS,US
US5884063,METHOD OF AND APPARATUS FOR PRODUCING MOVING IMAGE COMPOSED OF RANDOM DOTS ,US
US5884302,SYSTEM AND METHOD TO ANWER A QUESTION,US
US5885142,Device for cleaning a liquid crystal panel,US
US5885648,Process for making stoichiometric mixed metal oxide films,US
US5885711,"ELECTRICALLY CONDUCTIVE POLYMER COMPOSITIONS, PRODUCTION PROCESS AND COATED SUBSTRATES",US
US5886374,Optically sensitive device and method,US
US5886375,SRAM having improved soft-error immunity,US
US5886587,Flipped lumped element circulator,US
US5886825,MAGNIFIER LENS,US
US5886898,COMPUTER ASSISTED METHOD FOR CONDUCTING LIBRARY RESEARCH FROM A REMOTE LOCATION AND ASSOCIATED APPARATUS ,US
US5887084,STRUCTURING A DIGITAL IMAGE INTO A DCT PYRAMID IMAGE REPRESENTATION,US
US5887092,Optical non-linear branching element with MZ interferometer,US
US5887165,DYNAMICALLY RECONFIGURABLE HARDWARE SYSTEM FOR REAL-TIME CONTROL OF PROCESSES ,US
US5889313,THREE-DIMENSIONAL ARCHITECTURE FOR SOLID STATE RADIATION DETECTORS,US
US5889416,Symmetrical nand gates,US
US5889430,CURRENT MODE TRANSISTOR CIRCUIT,US
US5889431,CURRENT MODE TRANSISTOR CIRCUIT METHOD,US
US5889494,ANTENNA DEPLOYMENT SECTOR CELL SHAPING SYSTEM AND METHOD,US
US5889554,PROCESS AND SYSTEM FOR GENERATING A FULL COLOR IMAGE OF MULTISPECTRAL IMAGE FROM THE IMAGE DATA OF A CCD IMAGE SENSOR WITH A MOSAIC COLOR FILTER,US
US5889602,OPTICAL HINGE ,US
US5889728,Write control method for memory devices,US
US5889897,METHODOLOGY FOR OCR ERROR CHECKING THROUGH TEXT IMAGE REGENERTION,US
US5889989,UTILITARIAN COMBINATION UTENSIL,US
US5890110,VARIABLE DIMENSION VENTOR QUANTIZATION,US
US5890136,QUICK STOP MASS RETAIL SYSTEM,US
US5890149,"Organization training, coaching and indexing system",US
US5890168,System with data repetition between logically sucessive clusters,US
US5890195,DRAM WITH INTEGRAL SRAM COMPRISING A PLURALITY OF SETS OF ADDRESS LATCHES EACH ASSOCIATED WITH ONE OF A PLURALITY OF SRAM,US
US5890598,Substrate cassette,US
US5892408,Method and system for calibrating a crystal oscillator,US
US5892475,User interface for an electronic device,US
US5892561,LC PANEL WITH REDUCED DEFECTS HAVING ADHESIVE SMOOTHING LAYER ON AN EXTERIOR SURFACE OF THE SUBSTRATE(S) ,US
US5892605,OPTICAL CROSSBAR USING GUIDED SPATIAL DIVISION MULTIPLEXING,US
US5892837,COMPUTER PROGRAM PRODUCT FOR LOCATING OBJECTS IN AN IMAGE,US
US5892934,MICROPROCESSOR CONFIGURED TO DETECT A BRANCH TO A DSP ROUTINE AND TO DIRECT A DSP TO EXECUTE SAID ROUTINE,US
US5893162,Method and apparatus for allocation and management of shared memory with data in memory stored as multiple linked lists,US
US5894343,PASSIVE RANGEFINDER,US
US5894497,REDUCING SPURIOUS MODULATION PRODUCTS IN BROADBAND MULTICARRIER TRANSMISSION BY COHERRENT SUMMATION OF THE OUTPUTS OF DISSIMILAR DIGITAL-TO ANALOG DEVICE TYPES ,US
US5894519,PROCESS FOR THE DISSIMULATION OF A SECRET CODE IN A DATA  AUTHENTICATION DEVICE,US
US5895454,INTEGRATED INTERFACE FOR VENDOR/PRODUCT ORIENTED INTERNET WEBSITES ,US
US5895463,Compression of Grouped Data,US
US5895464,"Computer program product and a method for using natural language for the description, search and retrieval of multi-media objects",US
US5895503,ADDRESS TRANSLATION METHOD AND MECHANISM USING PHYSICAL ADDRESS INFORMATION INCLUDING DURING A SEGMENTATION PROCESS,US
US5895914,SCANNER CAPABLE OF SCANNING PENETRATIVE DOCUMENT AND REFLECTIVE DOCUMENT WITH SINGLE LAMP,US
US5896182,Amplitude modulator ,US
US5896550,Direct memory access controller with full read/write capability,US
US5897110,DATA PROCESSING APPARATUS HAVING A MOVABLE HOPPER TABLE,US
US5897225,WATERTIGHT PHOTOGRAPHIC SINGLE-USE CAMERA ,US
US5898198,RF power device having voltage controlled linearity,US
US5898359,Diffusion-barrier materials for thick-film piezoresistors and sensors formed therewith,US
US5898590,METHOD AND APPARATUS FOR NUMERICALLY CONTROLLED PATTERN DETERMINATION,US
US5898594,METHOD AND APPARATUS FOR ENABLING A SELECTION OF CATALOG ITEMS,US
US5898769,CALL ROUTING BASED ON PRIOR TELEPHONE CALLS,US
US5898779,PHOTOGRAPHIC SYSTEM WITH SELECTED AREA IMAGE AUTHENTICATION,US
US5898918,METHOD FOR CLASSIFYING CALLS FOR A MOBILE SUBSCRIPTION,US
US5900655,Charge Coupled Device With Stripe Layers Corresponding To CCD Regions,US
US5900661,EEPROM WITH BIT LINE BELOW WORD LINES,US
US5900839,Radio transmission apparatus comprising a retractable antenna and an antenna device for such apparatus,US
US5900887,MULTIPLEXED WIDE INTERFACE TO SGRAM ON A GRAPHICS CONTROLLER FOR COMPLEX-PATTERN FILLS WITHOUT COLOR AND MASK REGISTERS,US
US5900950,IMAGE SCANNER WITH A FUNCTION OF INITIATING SCANNING AUTOMATICALLY,US
US5900951,CONTACT IMAGE SENSOR IMAGE READING APPARATUS,US
US5900985,Polarization converter for unpolarized light,US
US5901100,"FIRST-IN, FIRST-OUT INTEGRATED CIRCUIT, MEMORY DEVICE, UTILIZING A DYNAMIC RANDOM ACCESS MEMORY ARRAY FOR DATA STORAGE IMPLEMENTED IN CONJUNCTION WITH AN ASSOCIATED STATIC RANDOM ACCESS MEMORY CACHE",US
US5901148,Ring domains for bandwidth sharing,US
US5901246,ERGONOMIC MAN-MACHINE INTERFACE INCORPORATING ADAPTIVE PATTERN RECOGNITION BASED CONTROL SYSTEM,US
US5903189,High gain low distortion bridge amplifier with feedback,US
US5903246,CIRCUIT AND METHOD FOR DRIVING AN ORGANIC LIGHT EMITTING DIODE (O-LED) DISPLAY,US
US5903425,Lateral PNP fast turn-off circuit,US
US5903454,HUMAN-FACTORED INTERFACE CORPORATING ADAPTIVE PATTERN RECOGNITION BASED CONTROLLER APPARATUS,US
US5903630,Method and apparatus for specifying alphanumeric information with a telephone keypad,US
US5903778,Method For Enabling Traditional SCSI Peripheral Equipments To Be Compatible With Plug-And-Play Protocol,US
US5904327,Detachable Wrist Support Of Keyboard,US
US5904520,Method of fabricating a CMOS transistor,US
US5905482,FERROELECTRIC LIQUID CRYSTAL DISPLAYS WITH DIGITAL GREYSCALE,US
US5905498,System and method for managing semantic network display,US
US5905668,Content adressable memory device,US
US5905719,Method and system for wireless internet access,US
US5905855,Method and apparatus for correcting errors in computer systems,US
US5905988,METHOD AND APPARATUS FOR DATABASE,US
US5905991,System and method providing navigation between documents by creating associations based on bridges between combinations of document elements and software,US
US5906003,Memory device with an externally selectable-width I/O port and systems and methods using the same,US
US5907172,Split-gate flash memory cell structure,US
US5907295,AUDIO SAMPLE-RATE CONVERSION USING A LINEAR-INTERPOLATION STAGE WITH A MULTI-TAP LOW-PASS FILTER REQUIRING REDUCED COEFFICIENT STORAGE,US
US5907304,LIGHTWEIGHT ANTENNA SUBPANEL HAVING RF AMPLIFIER MODULES EMBEDDED IN HONEYCOMB SUPPORT STRUCTURE BETWEEN RADIATION AND SIGNAL DISTRIBUTION NETWORKS,US
US5907354,MEMORY CARD HOUSING WITH A CENTER-ACTUATED EJECTOR,US
US5907626,METHOD FOR OBJECT TRACKING AND MOSAICING IN AN IMAGE SEQUENCE USING A TWO-DIMENSIONAL MESH,US
US5907730,MOVEABLE LENS APPARATUS FOR DIGITAL CAMERA,US
US5907831,Computer apparatus and methods supporting different categories of users,US
US5907839,Algorithm for context sensitive spelling correction,US
US5909322,MAGNIFIER LENS,US
US5909323,BEAM ALIGNMENT CORRECTION ELEMENT ASSEMBLY,US
US5909369,COORDINATING THE STATES OF A DISTRIBUTED FINITE STATE MACHINE,US
US5909436,RANDOM ACCESS ORTHOGONAL FREQUENCY DIVISION MULTIPLEX SYSTEM AND METHOD,US
US5909546,NETWORK INTERFACE HAVING SUPPORT FOR ALLOWING REMOTE OPERATIONS WITH REPLY THAT BYPASS HOST COMPUTER INTERACTION,US
US5909650,TELECOMMUNICATIONS SYSTEM AND METHOD ENABLING USE OF A GENERAL PERSONAL NUMBER IN FIXED AND MOBILE NETWORKS AND CORDLESS ACCESS SYSTEMS,US
US5910334,Method of manufacture for a thick film multi-layer circuit,US
US5910940,STORAGE MEDIUM HAVING A LAYER OF MICRO-OPTICAL LENSES EACH LENS GENERATING AN EVANESCENT FIELD,US
US5910960,Signal processing apparatus and method,US
US5911043,SYSTEM AND METHOD FOR COMPUTER-BASED RATING OF INFORMATION RETRIEVED FROM A COMPUTER NETWORK,US
US5911417,SHEET JAMMING-PROOF MECHANISM FOR PAPER-FEEDING SYSTEM,US
US5911777,METHOD AND APPARATUS FOR REPORTING UNAUTHORIZED ATTEMPT TO RELEASE A PORTABLE COMPUTER FROM A DOCKING STATION,US
US5912454,SYSTEM AND METHOD FOR DETECTING A RELATIVE CHANGE IN LIGHT INTENSITY,US
US5912490,MOSFET having buried shield plate for reduced gate/drain capacitance,US
US5912594,Compact crystal oscillator having no large capacitor element,US
US5912667,CURSOR CONTROL SYSTEM FOR CONTROLLING A POP-UP MENU,US
US5912711,APPARATUS FOR CONVERTING AND SCALING NON-INTERLACED VGA SIGNAL TO INTERLACED TV SIGNAL,US
US5912853,"Precision sense amplifiers and memories, systems and methods using the same",US
US5912909,"METHOD AND APPARATUS FOR EFFICIENT IMPLEMENTATION OF CHECKSUM CALCULATIONS
",US
US5913014,TRANSFORMS FOR DIGITAL IMAGES,US
US5913072,AN IMAGE PROCESSING SYSTEM IN WHICH IMAGE PROCESSING PROGRAMS STORED IN A PERSONAL COMPUTER ARE SELECTIVELY EXECUTED THROUGH USER INTERFACE OF A SCANNER,US
US5913170,LOCATING SYSTEM AND METHOD USING A MOBILE COMMUNICATIONS NETWORK,US
US5913215,Browse by prompted keyword phrases with an improved method for obtaining an initial document set,US
US5913226,SNOOP CACHE MEMORY CONTROL SYSTEM AND METHOD ,US
US5913228,Method and apparatus for caching discontiguous address spaces with short cache tags,US
US5914213,PROCESS AND COMPOSITION FOR GENERATION OF ACID,US
US5914468,Keyboard unit and key switch,US
US5914474,Methods of calibrating bar code evaluation systems,US
US5914645,Surface acoustic wave device with optimized ratio of film thickness to electrode period,US
US5914703,CURSOR CONTROL DEVICE,US
US5914748,METHOD AND APPARATUS FOR GENERATING A COMPOSITE IMAGE USING THE DIFFERENCE OF TWO IMAGES,US
US5914871,DEVICE FOR MULTI-STAGE ILLUMINANCE CONTROL FOR LIGHT SOURCE OF SCANNER,US
US5915023,Automatic portable account controller for remotely arranging for transfer of value to a recipient,US
US5915093,COMPUTER NETWORK DEBIT DISK USED FOR PREPAYMENT TO TRANSFER INFORMATION FROM A CENTRAL COMPUTER,US
US5915119,PROXY TERMINAL FOR NETWORK CONTROLLING OF POWER MANAGED USER TERMINALS IN SUSPEND MODE,US
US5917210,FLAT PANEL IMAGING SYSTEM,US
US5917459,HOLOGRAPHIC HEAD UP DISPLAY,US
US5917473,ENCODER MODULE FOR USE IN CURSOR CONTROL DEVICE,US
US5917618,DOCUMENT MOVING TRANSMISSION SYSTEM FOR AN OPTICAL SCANNER,US
US5917624,"METHOD AND SYSTEM FOR APPLYING FIBER TO THE CURB ARCHITECTURE USING A BORADBAND GATEWAY AT SERVICE LOCATIONS, INCLUDING HOMES",US
US5917801,Optical pickup device,US
US5917842,ERROR-FREE FRAME HANDLING FOR JAMMED DATA FRAMES,US
US5917969,LASER MODULATION,US
US5918073,SYSTEM AND METHOD FOR EQUALIZING DATA BUFFER STORAGE AND FETCH RATES OF PERIPHERAL DEVICES,US
US5918137,MOS transistor with shield coplanar with gate electrode,US
US5918211,Method and Apparatus for Promoting Products and Influencing Consumer Purchasing Decisions at the Point-of-Purchase,US
US5918471,Joule-Thomson cryostat in-line valve flow controller,US
US5919266,APPARATUS AND METHOD FOR FAULT TOLERANT OPERATION OF A MULTIPROCESSOR DATA PROCESSING SYSTEM,US
US5920071,Mercury cadmium telluride devices for detecting and controlling open flames,US
US5920266,AUTOMATIC TERMINATION OF COMPUTER NETWORKS,US
US5920350,CAMERA INCLUDING MEANS FOR ACQUIRING BI-DIRECTIONAL SOUND,US
US5920377,Multi-Hood System For Correcting Individual Lens Distortions,US
US5920384,OPTICAL IMAGING DEVICE,US
US5920448,MATRIX TYPE RECORDING/READING HEAD WITH ZIGZAG STRUCTURE,US
US5920477,HUMAN-FACTORED INTERFACE INCORPORATING ADAPTIVE PATTERN RECOGNITION BASED CONTROLLER APPARATUS,US
US5920857,Efficient optimistic concurrency control and lazy queries for B-trees and other database structures,US
US5920885,Dynamic random access memory with a normal precharge mode and a priority precharge mode,US
US5923176,HIGH SPEED TEST FIXTURE,US
US5923407,TECHNIQUE FOR AUTOMATICALLY ACTIVATING AND DEACTIVATING THE AVAILABILITY OF IMAGE BORDERS AS A FUNCTION OF TIME,US
US5923445,APPARATUS AND METHOD OF SCAN COMPOSING FOR A LARGE ORIGINAL,US
US5923461,SCANNER WITH DEFLECTION ELEMENT FOR SCANNING IMAGING SURFACES,US
US5923473,MULTI-SIZE SPOT BEAM IMAGING SYSTEM AND METHOD,US
US5923596,PRECHARGE-ENABLE SELF BOOSTING WORD LINE DRIVER FOR AN EMBEDDED DRAM,US
US5923734,METHODS AND APPARTUS FOR PROVIDING A PREPAID REMOTE MEMORY TRANSACTION ACCOUNT WITH VOICE INDICIA,US
US5923756,Method for providing secure remote command execution over an insecure computer network,US
US5923775,APPARATUS AND METHOD FOR SIGNAL DEPENDENT NOISE ESTIMATION AND REDUCTION IN DIGITAL IMAGES,US
US5923908,Camera with touch sensitive control,US
US5923951,METHOD OF MAKING A FLIP-CHIP BONDED GAAS-BASED OPTO-ELECTRONIC DEVICE ,US
US5923970,Method of fabricating a ferrolelectric capacitor with a graded barrier layer structure ,US
US5924105,"METHOD AND PRODUCT FOR DETERMINING SALIENT FEATURES FOR USE IN INFORMATION SEARCHING 
",US
US5924377,Modular enclosure system suitable for shipboard use,US
US5925104,"Method for making a multimedia application executable on hardware platforms with various different resource levels, a physical record containing such application, and an apparatus for executing such application",US
US5925907,SEMICONDUCTOR DEVICE INCLUDING TRANSISTOR WITH COMPOSITE GATE STRUCTURE AND TRANSISTOR WITH SINGLE GATE STRUCTURE,US
US5926218,ELECTRONIC CAMERA WITH DUAL RESOLUTION SENSORS,US
US5926286,Image sensor apparatus with small convex portions,US
US5926290,DOCUMENT-TRAY-DRIVEN APPARATUS FOR A PHOTO DRIVE,US
US5926428,"Memories, systems, and methods using precision sense amplifiers",US
US5926483,Method for dynamic allocation of voice and image compression,US
US5926626,NETWORK BRIDGE USING ONLY HARDWARE TO PROCESS MEDIA ACCESS CONTROL (MAC) PACKET-SWITCHING OPERATIONS ,US
US5926731,Method for controlling solder bump shape and stand-off height,US
US5926747,METHOD AND APPARATUS FOR DYNAMICALLY OPTIMIZING THE FORWARD-LINK TRANSMIT POWER OF A BROADBAND MULTI-CARRIER RADIO SIGNAL,US
US5926756,METHOD AND SYSTEM FOR PROGRAMMING A CELLULAR PHONE,US
US5926832,Method and apparatus for aliasing memory data in an advanced microprocessor,US
US5927069,Multi-electrode corona discharge pollutant destruction apparatus,US
US5928337,PROGRAMMABLE IMAGE PROCESSING SYSTEM INCLUDING SCANNER WITH DISPLAYING DEVICE FOR SEQUENTIAL DISPLAY OF CONTROL SIGNALS WHEN SCRIPT FILE EXECUTION PROGRAM STARTS,US
US5928568,Thick film circuit having conductor composition with coated metallic particles,US
US5928736,Composite structure having integrated aperture and method for its preparation,US
US5929440,ELECTROMAGNETIC RADIATION DETECTOR ,US
US5929600,Battery pack and method of producing the same,US
US5929947,Liquid crystal display thin film transistor array with redundant film formed over a contact hole and method of fabricating the same,US
US5929959,Liquid-crystal display panel,US
US5930018,Method and apparatus for controlling communications in a passive optical network,US
US5930119,BACKPLANE HAVING REDUCED LC PRODUCT,US
US5930219,Optical Pickup Device For Discs Of Varying Characteristics,US
US5930240,RADIO FREQUENCY COMMUNICATION SYSTEM WITH A REPEATER THAT OPERATES WITH A TIME DIVISION MULTIPLE ACCESS PROTOCOL,US
US5930412,Electro-optical component,US
US5930479,COMMUNICATIONS ADDRESSING SYSTEM,US
US5930591,"HIGH RESOLUTION, LOW VOLTAGE FLAT-PANEL RADIATION IMAGING SENSORS",US
US5930769,SYSTEM AND METHOD FOR FASHION SHOPPING,US
US5930826,Flash memory protection attribute status bits held in a flash memory array,US
US5931901,Programmed music on demand from the internet,US
US5931959,DYNAMICALLY RECONFIGURABLE FPGA APPARATUS AND METHOD FOR MULTIPROCESSING AND FAULT TOLERANCE,US
US5932898,Integrated inductive load snubbing device,US
US5933047,High voltage generating circuit for volatile semiconductor memories,US
US5933121,ATTENNA ARRAY FOR SENSING SIGNALS ON CONDUCTORS,US
US5933278,MONOLITHIC MULTI-FACETED MIRROR FOR COMBINING MULTIPLE BEAMS FROM DIFFERENT LIGHT SOURCES BY REFLECTION,US
US5933399,Optical Disc Recording Method And Apparatus With Variable Speed Control Function,US
US5933608,MULTIWAY SIGNAL SWITCHING DEVICE INCLUDING A WSIC AND OPTICAL COMMUNICATION PORTS ,US
US5933670,FOCAL PLANE MOUNTING FOR AN IMAGE SENSOR,US
US5933940,Method of Manufacturing a Recording/Reading Matrix,US
US5934779,REFLECTOR AND A REFLECTOR/LIGHT SOURCE SYSTEM,US
US5934910,LEARNING METHOD AND SYSTEM BASED ON QUESTIONING,US
US5936239,LENS HOLDER FOR A SCANNER SYSTEM WITH ONE SUPPORTING POINT AND ONE PRESSING POINT,US
US5936659,Method for video delivery using pyramid broadcasting,US
US5936683,YUV-TO-RGB CONVERSION WITHOUT MULTIPLIES USING LOOK-UP TABLES AND PRE-CLIPPING,US
US5936747,CASSETTE SCANNING SYSTEM,US
US5936771,Compact flir optical configuration,US
US5936880,Bi-layer programmable resistor memory ,US
US5936905,SELF ADJUSTING DELAY CIRCUIT AND METHOD FOR COMPENSATING SENSE AMPLIFIER CLOCK TIMING,US
US5937011,MULTI-CARRIER HIGH POWER AMPLIFIER USING DIGITAL PRE-DISTORTION ,US
US5937013,SUBHARMONIC QUADRATURE SAMPLING RECEIVER AND DESIGN ,US
US5937053,System And Method For Processing International Telephone Numbers,US
US5937084,KNOWLEDGE-BASED DOCUMENT ANALYSIS SYSTEM,US
US5937088,APPARATUS AND METHOD FOR IMPROVING MEMORY USAGE OF LOOK-UP TABLE MAPPING,US
US5937102,Image reconstruction,US
US5937104,COMBINING A FIRST DIGITAL IMAGE AND A SECOND BACKGROUND DIGITAL IMAGE USING A KEY COLOR CONTROL SIGNAL AND A SPATIAL CONTROL SIGNAL,US
US5937168,ROUTING INFORMATION WITHIN AN ADAPTIVE ROUTING ARCHITECTURE OF AN INFORMATION RETRIEVAL SYSTEM,US
US5937170,Data communications with processor-assertable addresses mapped to peripheral-accessible-addresses-times-command product space,US
US5937193,Circuit arrangement for translating platform-independent instructions for execution on a hardware platform and method thereof,US
US5937337,Method and apparatus for reducing FM intrusion in AM receivers,US
US5937374,SYSTEM AND METHOD FOR IMPROVED PITCH ESTIMATION WHICH PERFORMS FIRST FORMANT ENERGY REMOVAL FOR A FRAME USING COEFFICIENTS FROM A PRIOR FRAME,US
US5938726,APPARATUS FOR READING AN ELECTRONIC NETWORK NAVIGATION DEVICE AND A PERIPHERAL FOR USE THEREWITH,US
US5938738,PERIPHERAL CONTROL SYSTEM,US
US5938768,FEATURE TO FACILITATE NUMERIC PASSCODE ENTRY,US
US5939702,WRITING IMPLEMENT HAVING AN INTEGRATED OPTICAL READER,US
US5939708,ALIGNMENT PATTERN AND ALIGNMENT METHOD FOR A SCANNING SYSTEM,US
US5939713,OPTICAL SENSING SYSTEM USING TWO SENSORS TO GENERATE POSITION SIGNALS,US
US5940045,OPTIMIZATION OF DC POWER TO EFFECTIVE IRRADIATED POWER CONVERSION EFFICIENCY FOR HELICAL ANTENNA,US
US5940191,COLORED OPTICAL SENSING MODULE,US
US5940329,MEMORY ARCHITECTURE AND SYSTEMS AND METHODS USING THE SAME,US
US5940439,METHOD AND APPARATUS FOR ADAPTIVE RATE COMMUNICATION SYSTEM,US
US5940515,SECURE DIALING IN MOBILE TELEPHONE SYSTEM                                                                               ,US
